pmid,authors
18030492,"Jiang, Chang-Jie|Aono, Mitsuko|Tamaoki, Masanori|Maeda, Satoru|Sugano, Shoji|Mori, Masaki|Takatsuji, Hiroshi"
16375707,"Gr&uuml;nweller, A|Hartmann, R K"
18644891,"Tang, Kai-Fu|Ren, Hong|Cao, Jia|Zeng, Gui-Li|Xie, Jing|Chen, Min|Wang, Lu|He, Cai-Xia"
15073178,"Wang, Jen-Chywan|Walker, Amy|Blackwell, T Keith|Yamamoto, Keith R"
11452313,"Parrish, J|Li, L|Klotz, K|Ledwich, D|Wang, X|Xue, D"
9600918,"Lopez, P J|Marchand, I|Yarchuk, O|Dreyfus, M"
11804566,"Kalidas, Savitha|Smith, Dean P"
12763028,"Tilly, G|Chapuis, J|Vilette, D|Laude, H|Vilotte, J L"
17039251,"Fusaro, Adriana F|Matthew, Louisa|Smith, Neil A|Curtin, Shaun J|Dedic-Hagan, Jasmina|Ellacott, Geoff A|Watson, John M|Wang, Ming-Bo|Brosnan, Chris|Carroll, Bernard J|Waterhouse, Peter M"
10903441,"Caplen, N J|Fleenor, J|Fire, A|Morgan, R A"
18055057,"Inoue, Yusuke|Kurihara, Ryosuke|Tsuchida, Akiko|Hasegawa, Mino|Nagashima, Takeyuki|Mori, Takeshi|Niidome, Takuro|Katayama, Yoshiki|Okitsu, Osamu"
12853134,"Choi, Kyu Yeong|Ji, Yon Ju|Dhakal, Bijaya Kumar|Yu, Jae-Ran|Cho, Chunghee|Song, Woo Keun|Ahnn, Joohong"
16965518,"Yahiro, Kinnosuke|Morinaga, Naoko|Satoh, Mamoru|Matsuura, Gen|Tomonaga, Takeshi|Nomura, Fumio|Moss, Joel|Noda, Masatoshi"
17997710,"Jensen, Eric D|Schroeder, Tania M|Bailey, Jaclyn|Gopalakrishnan, Rajaram|Westendorf, Jennifer J"
12763021,"Marlow, Laura|Canet, Rosa M|Haugabook, Sharie J|Hardy, John A|Lahiri, Debomoy K|Sambamurti, Kumar"
18456458,"Sun, Lei|Yu, Ming-Can|Kong, Ling|Zhuang, Zi-Heng|Hu, Jun-Hao|Ge, Bao-Xue"
17194889,"Hiuge, Aki|Tenenbaum, Alexander|Maeda, Norikazu|Benderly, Michal|Kumada, Masahiro|Fisman, Enrique Z|Tanne, David|Matas, Zipora|Hibuse, Toshiyuki|Fujita, Koichi|Nishizawa, Hitoshi|Adler, Yehuda|Motro, Michael|Kihara, Shinji|Shimomura, Iichiro|Behar, Solomon|Funahashi, Tohru"
12074888,"Hudson, Damien F|Morrison, Ciaran|Ruchaud, Sandrine|Earnshaw, William C"
17596296,"Choe, Keith P|Strange, Kevin"
17399686,"Upadhyay, Sunil|Chatterjee, Aditi|Trink, Barry|Sommer, Matthias|Ratovitski, Edward|Sidransky, David"
17203072,"Poteryaev, Dmitry|Fares, Hanna|Bowerman, Bruce|Spang, Anne"
18227072,"Fisher, Alfred L|Page, Kathryn E|Lithgow, Gordon J|Nash, Lindsey"
12361598,"Chen, Zhihong|Indjeian, Vahan B|McManus, Michael|Wang, Leyu|Dynlacht, Brian David"
15073148,"Dalp&eacute;, Gratien|Zhang, Lijia W|Zheng, Hong|Culotti, Joseph G"
15130492,"Iezzi, Simona|Di Padova, Monica|Serra, Carlo|Caretti, Giuseppina|Simone, Cristiano|Maklan, Eric|Minetti, Giulia|Zhao, Po|Hoffman, Eric P|Puri, Pier Lorenzo|Sartorelli, Vittorio"
18423674,"Lu, Jia|Nozumi, Motohiro|Fujii, Hiroshi|Igarashi, Michihiro"
15818617,"Xie, Xian He|An, Hee Jung|Kang, Suki|Hong, Sunghui|Choi, Yoon Pyo|Kim, Young Tae|Choi, Young Deuk|Cho, Nam Hoon"
17850230,"Rayapuram, Cbgowda|Baldwin, Ian T"
12181365,"Petriv, Oleh I|Pilgrim, David B|Rachubinski, Richard A|Titorenko, Vladimir I"
17538933,"Beraza, Naiara|Trautwein, Christian"
11427699,"Karabinos, A|Schmidt, H|Harborth, J|Schnabel, R|Weber, K"
16473967,"Kaur, Jagreet|Sebastian, Jose|Siddiqi, Imran"
18218863,"Ryu, Ji-Hwan|Kim, Sung-Hee|Lee, Hyo-Young|Bai, Jin Young|Nam, Young-Do|Bae, Jin-Woo|Lee, Dong Gun|Shin, Seung Chul|Ha, Eun-Mi|Lee, Won-Jae"
17022830,"Herrmann, Markus M|Pinto, Sheena|Kluth, Jantjeline|Wienand, Udo|Lorbiecke, Ren&eacute;"
16957293,"Kuhlmann, Markus|Popova, Blagovesta|Nellen, Wolfgang"
18481001,"Huang, Yukan|Zhang, Mingchang|Wang, Yong|Fan, Keshun|Zhang, Guanghong|Zhou, Yanli"
15703909,"Schmidt, F R"
18464609,"Liu, Changmei|Liu, Chaowu|Yang, Zhuo|Zhao, Bin"
17219420,"Tesfaye, Dawit|Lonergan, Patrick|Hoelker, Michael|Rings, Franca|Nganvongpanit, Korakot|Havlicek, Vitezslav|Besenfelder, Urban|Jennen, Danyel|Tholen, Ernst|Schellander, Karl"
18571100,"Pollio, Giuseppe|Hoozemans, Jeroen J M|Andersen, Claus A|Roncarati, Renza|Rosi, Maria Cristina|van Haastert, Elise S|Seredenina, Tamara|Diamanti, Daniela|Gotta, Stefano|Fiorentini, Anna|Magnoni, Letizia|Raggiaschi, Roberto|Rozemuller, Annemieke J M|Casamenti, Fiorella|Caricasole, Andrea|Terstappen, Georg C"
18227036,"Chen, Wei|Li, Xu|Wang, Ying"
14770011,"Hannon, Gregory J|Conklin, Douglas S"
16629595,"Weinberg, Marc S|Morris, Kevin V"
18685787,"Wang, Yan-Y I|Yang, Yong|Chen, Qingyong|Yu, Jianping|Hou, Yongzhong|Han, Lizhen|He, Jun|Jiao, Demin|Yu, Huihui"
